,Inches,CPU_Frequency (GHz),RAM (GB),Weight (kg),Price (SAR),Company_Encoded,Base_Product_Encoded,TypeName_Encoded,Resolution_Width,Resolution_Height,Pixel_Area,IPS_Panel,Retina_Display,Touchscreen,CPU_Company_Intel,CPU_Company_Samsung,CPU_Family_Grouped_A6,CPU_Family_Grouped_A9,CPU_Family_Grouped_Celeron,CPU_Family_Grouped_Core M,CPU_Family_Grouped_Core i3,CPU_Family_Grouped_Core i5,CPU_Family_Grouped_Core i7,CPU_Family_Grouped_Other,CPU_Family_Grouped_Pentium,Primary_Storage_Capacity,Secondary_Storage_Capacity,Total_Storage_GB,Primary_Storage_Type_HDD,Primary_Storage_Type_Hybrid,Primary_Storage_Type_SSD,GPU_Company_Grouped_Intel,GPU_Company_Grouped_Nvidia,GPU_Company_Grouped_Other,GPU_Company_Encoded,GPU_Series_Frequency,OpSys_Encoded
0,13.3,2.3,8,1.37,5318.5693,5703.702308333333,21,3,2560,1600,4096000,1,1,0,True,False,False,False,False,False,False,True,False,False,False,128.0,0.0,128.0,False,False,True,True,False,False,4050.8598208806816,131,6209.868328571429
1,13.3,1.8,8,1.34,3568.7918000000004,5703.702308333333,21,3,1440,900,1296000,0,0,0,True,False,False,False,False,False,False,True,False,False,False,128.0,0.0,128.0,False,False,False,True,False,False,4050.8598208806816,621,6209.868328571429
2,15.6,2.5,8,1.86,2282.75,4288.849216791045,25,2,1920,1080,2073600,0,0,0,True,False,False,False,False,False,False,True,False,False,False,256.0,0.0,256.0,False,False,True,True,False,False,4050.8598208806816,621,2353.180654248366
4,13.3,3.1,8,1.37,7160.292,5703.702308333333,21,3,2560,1600,4096000,1,1,0,True,False,False,False,False,False,False,True,False,False,False,256.0,0.0,256.0,False,False,True,True,False,False,4050.8598208806816,131,6209.868328571429
5,15.6,3.0,4,2.1,1588.0,2514.853888118812,61,2,1366,768,1049088,0,0,0,False,False,False,True,False,False,False,False,False,False,False,500.0,0.0,500.0,True,False,False,False,False,False,3088.7654103448276,167,4687.31573759542
6,15.4,2.2,16,2.04,8495.6809,5703.702308333333,21,3,2880,1800,5184000,1,1,0,True,False,False,False,False,False,False,False,True,False,False,256.0,0.0,256.0,False,False,False,True,False,False,4050.8598208806816,131,6209.868328571429
7,13.3,1.8,8,1.34,4600.039000000001,5703.702308333333,21,3,1440,900,1296000,0,0,0,True,False,False,False,False,False,False,True,False,False,False,256.0,0.0,256.0,False,False,False,True,False,False,4050.8598208806816,621,6209.868328571429
8,14.0,1.8,16,1.3,5935.150000000001,4461.6040552631575,25,3,1920,1080,2073600,0,0,0,True,False,False,False,False,False,False,False,True,False,False,512.0,0.0,512.0,False,False,True,False,True,False,5942.078051010101,21,4687.31573759542
9,14.0,1.6,8,1.6,3056.9,2514.853888118812,7,3,1920,1080,2073600,1,0,0,True,False,False,False,False,False,False,True,False,False,False,256.0,0.0,256.0,False,False,True,True,False,False,4050.8598208806816,68,4687.31573759542
10,15.6,2.5,4,1.86,1563.783,4288.849216791045,25,2,1366,768,1049088,0,0,0,True,False,False,False,False,False,False,True,False,False,False,500.0,0.0,500.0,True,False,False,True,False,False,4050.8598208806816,621,2353.180654248366
11,15.6,2.0,4,1.86,1369.6103,4288.849216791045,25,2,1920,1080,2073600,0,0,0,True,False,False,False,False,False,True,False,False,False,False,500.0,0.0,500.0,True,False,False,True,False,False,4050.8598208806816,621,2353.180654248366
12,15.4,2.8,16,1.83,9686.6809,5703.702308333333,21,3,2880,1800,5184000,1,1,0,True,False,False,False,False,False,False,False,True,False,False,256.0,0.0,256.0,False,False,True,False,False,False,3088.7654103448276,167,6209.868328571429
13,15.6,2.0,4,2.2,1980.633,4760.9237274914085,135,2,1920,1080,2073600,0,0,0,True,False,False,False,False,False,True,False,False,False,False,256.0,0.0,256.0,False,False,True,False,False,False,3088.7654103448276,167,4687.31573759542
14,12.0,1.2,8,0.92,5011.728000000001,5703.702308333333,21,3,2304,1440,3317760,1,1,0,True,False,False,False,False,True,False,False,False,False,False,256.0,0.0,256.0,False,False,True,True,False,False,4050.8598208806816,621,6209.868328571429
15,13.3,2.3,8,1.37,6028.6435,5703.702308333333,21,3,2560,1600,4096000,1,1,0,True,False,False,False,False,False,False,True,False,False,False,256.0,0.0,256.0,False,False,True,True,False,False,4050.8598208806816,131,6209.868328571429
16,15.6,2.7,8,2.2,2957.65,4760.9237274914085,135,2,1920,1080,2073600,0,0,0,True,False,False,False,False,False,False,False,True,False,False,256.0,0.0,256.0,False,False,True,False,False,False,3088.7654103448276,167,4687.31573759542
18,15.6,2.4,8,2.2,1981.0300000000002,4342.632991695502,99,2,1920,1080,2073600,0,0,0,True,False,False,False,False,False,True,False,False,False,False,1024.0,0.0,1024.0,True,False,False,False,True,False,5942.078051010101,131,2353.180654248366
19,13.3,1.6,8,1.22,3886.63,4760.9237274914085,39,3,1920,1080,2073600,1,0,1,True,False,False,False,False,False,False,True,False,False,False,128.0,0.0,128.0,False,False,True,True,False,False,4050.8598208806816,68,4687.31573759542
20,11.6,1.44,2,0.98,761.8430000000001,4461.6040552631575,23,1,1366,768,1049088,0,0,0,True,False,False,False,False,False,False,False,False,False,False,32.0,0.0,32.0,False,False,False,True,False,False,4050.8598208806816,621,4687.31573759542
21,15.6,2.5,8,2.5,3966.03,4342.632991695502,23,5,1920,1080,2073600,1,0,0,True,False,False,False,False,False,False,True,False,False,False,131072.0,0.0,131072.0,False,False,True,False,True,False,5942.078051010101,236,4687.31573759542
22,15.6,1.5,4,1.86,1024.26,4288.849216791045,4,2,1366,768,1049088,0,0,0,False,False,False,False,False,False,False,False,False,True,False,500.0,0.0,500.0,True,False,False,False,False,False,3088.7654103448276,167,2353.180654248366
23,13.3,1.6,8,1.62,3251.4300000000003,4760.9237274914085,135,4,1920,1080,2073600,0,0,1,True,False,False,False,False,False,False,True,False,False,False,256.0,0.0,256.0,False,False,True,True,False,False,4050.8598208806816,68,4687.31573759542
24,15.6,1.8,8,1.91,2616.23,4288.849216791045,1,3,1920,1080,2073600,0,0,0,True,False,False,False,False,False,False,False,True,False,False,256.0,0.0,256.0,False,False,True,True,False,False,4050.8598208806816,621,4687.31573759542
25,15.6,2.0,4,2.3,1662.0008,4760.9237274914085,135,2,1366,768,1049088,0,0,0,True,False,False,False,False,False,True,False,False,False,False,1024.0,0.0,1024.0,True,False,False,True,False,False,4050.8598208806816,621,4687.31573759542
26,13.3,1.6,8,1.35,4363.030000000001,5703.702308333333,21,3,1440,900,1296000,0,0,0,True,False,False,False,False,False,False,True,False,False,False,128.0,0.0,128.0,False,False,False,True,False,False,4050.8598208806816,621,6209.868328571429
27,15.6,1.6,8,2.2,3176.0,4760.9237274914085,135,2,1920,1080,2073600,0,0,0,True,False,False,False,False,False,False,True,False,False,False,256.0,0.0,256.0,False,False,True,False,False,False,3088.7654103448276,167,4687.31573759542
28,15.6,1.9,8,1.88,5153.06,4760.9237274914085,52,3,1920,1080,2073600,0,0,0,True,False,False,False,False,False,False,False,True,False,False,256.0,0.0,256.0,False,False,True,True,False,False,4050.8598208806816,68,4687.31573759542
29,17.3,1.6,8,2.5,3557.1200000000003,4288.849216791045,72,2,1920,1080,2073600,0,0,0,True,False,False,False,False,False,False,True,False,False,False,1024.0,0.0,1024.0,True,False,False,False,True,False,5942.078051010101,131,4687.31573759542
30,15.6,1.44,4,1.89,972.6103,5703.702308333333,3,2,1920,1080,2073600,0,0,0,True,False,False,False,False,False,False,False,False,False,False,64.0,0.0,64.0,False,False,False,True,False,False,4050.8598208806816,621,4687.31573759542
31,14.0,1.5,2,1.65,790.0300000000001,4461.6040552631575,1,2,1366,768,1049088,0,0,0,False,False,False,False,False,False,False,False,False,True,False,32.0,0.0,32.0,False,False,False,False,False,False,3088.7654103448276,167,4687.31573759542
32,17.3,2.5,4,2.71,1742.8300000000002,4288.849216791045,1,2,1920,1080,2073600,0,0,0,False,False,True,False,False,False,False,False,False,False,False,500.0,0.0,500.0,True,False,False,False,False,False,3088.7654103448276,167,4687.31573759542
33,13.3,1.8,16,1.2,7419.93,4760.9237274914085,39,3,3200,1800,5760000,0,0,1,True,False,False,False,False,False,False,False,True,False,False,512.0,0.0,512.0,False,False,True,True,False,False,4050.8598208806816,68,4687.31573759542
34,13.3,1.6,8,1.35,3962.0600000000004,5703.702308333333,21,3,1440,900,1296000,0,0,0,True,False,False,False,False,False,False,True,False,False,False,256.0,0.0,256.0,False,False,False,True,False,False,4050.8598208806816,621,6209.868328571429
35,14.0,1.1,4,1.44,988.5300000000001,4342.632991695502,99,2,1366,768,1049088,0,0,0,True,False,False,False,True,False,False,False,False,False,False,64.0,0.0,64.0,False,False,False,True,False,False,4050.8598208806816,621,4687.31573759542
36,15.6,2.7,4,2.1,1456.99,2514.853888118812,61,2,1366,768,1049088,0,0,0,True,False,False,False,False,False,True,False,False,False,False,1024.0,0.0,1024.0,True,False,False,True,False,False,4050.8598208806816,621,2353.180654248366
37,17.3,1.6,8,2.8,3886.63,4760.9237274914085,135,2,1920,1080,2073600,1,0,0,True,False,False,False,False,False,False,True,False,False,False,131072.0,0.0,131072.0,False,False,True,False,False,False,3088.7654103448276,167,4687.31573759542
38,15.6,2.5,4,1.86,1940.0993,4288.849216791045,25,2,1366,768,1049088,0,0,0,True,False,False,False,False,False,False,True,False,False,False,1024.0,0.0,1024.0,True,False,False,True,False,False,4050.8598208806816,621,4687.31573759542
39,15.6,1.6,8,2.1,3489.63,4288.849216791045,72,2,1920,1080,2073600,0,0,0,True,False,False,False,False,False,False,True,False,False,False,256.0,0.0,256.0,False,False,True,False,True,False,5942.078051010101,131,4687.31573759542
40,15.6,2.0,4,2.0,1544.3300000000002,4461.6040552631575,1,2,1920,1080,2073600,0,0,0,True,False,False,False,False,False,True,False,False,False,False,1024.0,0.0,1024.0,True,False,False,True,False,False,4050.8598208806816,621,2353.180654248366
41,15.6,2.8,16,2.65,5951.030000000001,4760.9237274914085,135,5,1920,1080,2073600,1,0,0,True,False,False,False,False,False,False,False,True,False,False,262144.0,0.0,262144.0,False,False,True,False,True,False,5942.078051010101,236,4687.31573759542
42,15.6,2.5,8,2.3,2076.2703,4461.6040552631575,1,2,1366,768,1049088,0,0,0,True,False,False,False,False,False,False,True,False,False,False,1024.0,0.0,1024.0,True,False,False,False,True,False,5942.078051010101,131,2353.180654248366
43,15.6,1.6,4,2.2,2707.54,2514.853888118812,61,2,1920,1080,2073600,1,0,0,True,False,False,False,False,False,False,True,False,False,False,256.0,0.0,256.0,False,False,True,True,False,False,4050.8598208806816,68,4687.31573759542
44,17.3,1.6,12,2.77,3966.03,4760.9237274914085,135,4,1920,1080,2073600,0,0,1,True,False,False,False,False,False,False,True,False,False,False,1024.0,0.0,1024.0,True,False,False,False,True,False,5942.078051010101,131,4687.31573759542
45,13.3,2.0,8,1.37,5633.43,5703.702308333333,21,3,2560,1600,4096000,1,1,0,True,False,False,False,False,False,False,True,False,False,False,256.0,0.0,256.0,False,False,True,True,False,False,4050.8598208806816,131,6209.868328571429
46,15.6,2.0,4,2.2,1464.93,4342.632991695502,99,2,1366,768,1049088,0,0,0,True,False,False,False,False,False,True,False,False,False,False,128.0,0.0,128.0,False,False,True,True,False,False,4050.8598208806816,621,2353.180654248366
47,17.3,3.0,8,3.2,5157.030000000001,4461.6040552631575,38,5,1920,1080,2073600,0,0,0,False,False,False,False,False,False,False,False,False,True,False,262144.0,0.0,262144.0,False,False,True,False,False,False,3088.7654103448276,167,4687.31573759542
48,15.6,2.5,4,2.3,2536.83,4760.9237274914085,135,2,1920,1080,2073600,0,0,0,True,False,False,False,False,False,False,True,False,False,False,256.0,0.0,256.0,False,False,True,False,False,False,3088.7654103448276,167,4687.31573759542
49,17.3,1.1,4,2.8,1850.02,4461.6040552631575,1,2,1366,768,1049088,0,0,0,True,False,False,False,False,False,False,False,False,False,True,1024.0,0.0,1024.0,True,False,False,False,True,False,5942.078051010101,131,4687.31573759542
50,10.1,1.44,4,0.69,1266.43,4342.632991695502,29,4,1920,1200,2304000,1,0,1,True,False,False,False,False,False,False,False,False,False,False,64.0,0.0,64.0,False,False,False,True,False,False,4050.8598208806816,621,2353.180654248366
51,15.6,1.8,8,2.2,3338.77,2514.853888118812,61,2,1920,1080,2073600,1,0,0,True,False,False,False,False,False,False,False,True,False,False,256.0,0.0,256.0,False,False,True,False,True,False,5942.078051010101,21,4687.31573759542
52,15.6,2.5,4,1.86,1582.0053,4288.849216791045,4,2,1920,1080,2073600,0,0,0,False,False,True,False,False,False,False,False,False,False,False,256.0,0.0,256.0,False,False,True,False,False,False,3088.7654103448276,167,4687.31573759542
53,13.3,1.8,8,1.49,4378.91,4288.849216791045,72,2,1920,1080,2073600,0,0,0,True,False,False,False,False,False,False,False,True,False,False,512.0,0.0,512.0,False,False,True,True,False,False,4050.8598208806816,68,4687.31573759542
54,15.6,2.4,4,2.4,1524.48,2514.853888118812,61,2,1366,768,1049088,0,0,0,True,False,False,False,False,False,True,False,False,False,False,1024.0,0.0,1024.0,True,False,False,True,False,False,4050.8598208806816,621,4687.31573759542
55,15.6,1.8,8,2.13,3048.166,4760.9237274914085,135,2,1920,1080,2073600,0,0,0,True,False,False,False,False,False,False,False,True,False,False,256.0,0.0,256.0,False,False,True,False,False,False,3088.7654103448276,167,4687.31573759542
