Company,Product,TypeName,Inches,CPU_Frequency (GHz),RAM (GB),Memory Type,Memory Capacity,GPU_Company,GPU_Type,OpSys,Weight (kg),Price (SAR),Resolution_Width,Resolution_Height,Contains_HD,Contains_IPS,Contains_Touchscreen,Contains_4K,Contains_Quad_HD_plus,CPU_Family,CPU_Generation,CPU_Series,GPU_Family,GPU_Series,GPU_Series_Clean,Series_Type,Performance_Tier
Apple,MacBook Pro,Ultrabook,13.3,2.3,8,SSD,128,Intel,Iris Plus Graphics 640,macOS,1.37,5318.5693,2560,1600,0,1,0,0,0,Core,7,i5,Iris,640,640,Numeric,Mid-Range
Apple,Macbook Air,Ultrabook,13.3,1.8,8,Flash,128,Intel,HD Graphics 6000,macOS,1.34,3568.7918000000004,1440,900,0,0,0,0,0,Core,7,i5,HD,6000,6000,Numeric,High-End
HP,250 G6,Notebook,15.6,2.5,8,SSD,256,Intel,HD Graphics 620,No OS,1.86,2282.75,1920,1080,1,0,0,0,0,Core,7,i5,HD,620,620,Numeric,Mid-Range
Apple,MacBook Pro,Ultrabook,15.4,2.7,16,SSD,512,AMD,Radeon Pro 455,macOS,1.83,10073.6765,2880,1800,0,1,0,0,0,Core,7,i7,Radeon,455,455,Numeric,Low-End
Apple,MacBook Pro,Ultrabook,13.3,3.1,8,SSD,256,Intel,Iris Plus Graphics 650,macOS,1.37,7160.292,2560,1600,0,1,0,0,0,Core,7,i5,Iris,650,650,Numeric,Mid-Range
Acer,Aspire 3,Notebook,15.6,3.0,4,HDD,500,AMD,Radeon R5,Windows 10,2.1,1588.0,1366,768,0,0,0,0,0,A9,9,9420,Radeon,R5,5,Alphanumeric,Low-End
Apple,MacBook Pro,Ultrabook,15.4,2.2,16,Flash,256,Intel,Iris Pro Graphics,Mac OS X,2.04,8495.6809,2880,1800,0,1,0,0,0,Core,7,i7,Iris,Graphics,640,Alphanumeric,Mid-Range
Apple,Macbook Air,Ultrabook,13.3,1.8,8,Flash,256,Intel,HD Graphics 6000,macOS,1.34,4600.039000000001,1440,900,0,0,0,0,0,Core,7,i5,HD,6000,6000,Numeric,High-End
Asus,ZenBook UX430UN,Ultrabook,14.0,1.8,16,SSD,512,Nvidia,GeForce MX150,Windows 10,1.3,5935.150000000001,1920,1080,1,0,0,0,0,Core,8,i7,GeForce,MX150,150,Alphanumeric,Low-End
Acer,Swift 3,Ultrabook,14.0,1.6,8,SSD,256,Intel,UHD Graphics 620,Windows 10,1.6,3056.9,1920,1080,1,1,0,0,0,Core,8,i5,UHD,620,620,Numeric,Mid-Range
HP,250 G6,Notebook,15.6,2.5,4,HDD,500,Intel,HD Graphics 620,No OS,1.86,1563.783,1366,768,0,0,0,0,0,Core,7,i5,HD,620,620,Numeric,Mid-Range
HP,250 G6,Notebook,15.6,2.0,4,HDD,500,Intel,HD Graphics 520,No OS,1.86,1369.6103,1920,1080,1,0,0,0,0,Core,6,i3,HD,520,520,Numeric,Mid-Range
Apple,MacBook Pro,Ultrabook,15.4,2.8,16,SSD,256,AMD,Radeon Pro 555,macOS,1.83,9686.6809,2880,1800,0,1,0,0,0,Core,7,i7,Radeon,555,555,Numeric,Mid-Range
Dell,Inspiron 3567,Notebook,15.6,2.0,4,SSD,256,AMD,Radeon R5 M430,Windows 10,2.2,1980.633,1920,1080,1,0,0,0,0,Core,6,i3,Radeon,M430,430,Alphanumeric,Low-End
Apple,"MacBook 12""",Ultrabook,12.0,1.2,8,SSD,256,Intel,HD Graphics 615,macOS,0.92,5011.728000000001,2304,1440,0,1,0,0,0,Core,Unknown,m3,HD,615,615,Numeric,Mid-Range
Apple,MacBook Pro,Ultrabook,13.3,2.3,8,SSD,256,Intel,Iris Plus Graphics 640,macOS,1.37,6028.6435,2560,1600,0,1,0,0,0,Core,7,i5,Iris,640,640,Numeric,Mid-Range
Dell,Inspiron 3567,Notebook,15.6,2.7,8,SSD,256,AMD,Radeon R5 M430,Windows 10,2.2,2957.65,1920,1080,1,0,0,0,0,Core,7,i7,Radeon,M430,430,Alphanumeric,Low-End
Apple,MacBook Pro,Ultrabook,15.4,2.9,16,SSD,512,AMD,Radeon Pro 560,macOS,1.83,11346.26,2880,1800,0,1,0,0,0,Core,7,i7,Radeon,560,560,Numeric,Mid-Range
Lenovo,IdeaPad 320-15IKB,Notebook,15.6,2.4,8,HDD,1024,Nvidia,GeForce 940MX,No OS,2.2,1981.0300000000002,1920,1080,1,0,0,0,0,Core,7,i3,GeForce,940MX,940,Alphanumeric,High-End
Dell,XPS 13,Ultrabook,13.3,1.6,8,SSD,128,Intel,UHD Graphics 620,Windows 10,1.22,3886.63,1920,1080,1,1,1,0,0,Core,8,i5,UHD,620,620,Numeric,Mid-Range
Asus,Vivobook E200HA,Netbook,11.6,1.44,2,Flash,32,Intel,HD Graphics 400,Windows 10,0.98,761.8430000000001,1366,768,0,0,0,0,0,Atom,8,Other,HD,400,400,Numeric,Low-End
Lenovo,Legion Y520-15IKBN,Gaming,15.6,2.5,8,SSD+HDD,1152,Nvidia,GeForce GTX 1050,Windows 10,2.5,3966.03,1920,1080,1,1,0,0,0,Core,7,i5,GeForce,1050,1050,Numeric,High-End
HP,255 G6,Notebook,15.6,1.5,4,HDD,500,AMD,Radeon R2,No OS,1.86,1024.26,1366,768,0,0,0,0,0,Unknown,Unknown,9000,Radeon,R2,2,Alphanumeric,Low-End
Dell,Inspiron 5379,2 in 1 Convertible,13.3,1.6,8,SSD,256,Intel,UHD Graphics 620,Windows 10,1.62,3251.4300000000003,1920,1080,1,0,1,0,0,Core,8,i5,UHD,620,620,Numeric,Mid-Range
HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Ultrabook,15.6,1.8,8,SSD,256,Intel,HD Graphics 620,Windows 10,1.91,2616.23,1920,1080,1,0,0,0,0,Core,8,i7,HD,620,620,Numeric,Mid-Range
Dell,Inspiron 3567,Notebook,15.6,2.0,4,HDD,1024,Intel,HD Graphics 520,Windows 10,2.3,1662.0008,1366,768,0,0,0,0,0,Core,6,i3,HD,520,520,Numeric,Mid-Range
Apple,MacBook Air,Ultrabook,13.3,1.6,8,Flash,128,Intel,HD Graphics 6000,Mac OS X,1.35,4363.030000000001,1440,900,0,0,0,0,0,Core,7,i5,HD,6000,6000,Numeric,High-End
Dell,Inspiron 5570,Notebook,15.6,1.6,8,SSD,256,AMD,Radeon 530,Windows 10,2.2,3176.0,1920,1080,1,0,0,0,0,Core,8,i5,Radeon,530,530,Numeric,Mid-Range
Dell,Latitude 5590,Ultrabook,15.6,1.9,8,SSD+SSD,512,Intel,UHD Graphics 620,Windows 10,1.88,5153.06,1920,1080,1,0,0,0,0,Core,8,i7,UHD,620,620,Numeric,Mid-Range
HP,ProBook 470,Notebook,17.3,1.6,8,HDD,1024,Nvidia,GeForce 930MX,Windows 10,2.5,3557.1200000000003,1920,1080,1,0,0,0,0,Core,8,i5,GeForce,930MX,930,Alphanumeric,High-End
Chuwi,"LapBook 15.6""",Notebook,15.6,1.44,4,Flash,64,Intel,HD Graphics,Windows 10,1.89,972.6103,1920,1080,1,0,0,0,0,Atom,8,Other,HD,Graphics,640,Alphanumeric,Mid-Range
Asus,E402WA-GA010T (E2-6110/2GB/32GB/W10),Notebook,14.0,1.5,2,Flash,32,AMD,Radeon R2,Windows 10,1.65,790.0300000000001,1366,768,0,0,0,0,0,Unknown,6,6110,Radeon,R2,2,Alphanumeric,Low-End
HP,17-ak001nv (A6-9220/4GB/500GB/Radeon,Notebook,17.3,2.5,4,HDD,500,AMD,Radeon 530,Windows 10,2.71,1742.8300000000002,1920,1080,1,0,0,0,0,A6,9,9220,Radeon,530,530,Numeric,Mid-Range
Dell,XPS 13,Ultrabook,13.3,1.8,16,SSD,512,Intel,UHD Graphics 620,Windows 10,1.2,7419.93,3200,1800,1,0,1,0,1,Core,8,i7,UHD,620,620,Numeric,Mid-Range
Apple,MacBook Air,Ultrabook,13.3,1.6,8,Flash,256,Intel,HD Graphics 6000,Mac OS X,1.35,3962.0600000000004,1440,900,0,0,0,0,0,Core,7,i5,HD,6000,6000,Numeric,High-End
Lenovo,IdeaPad 120S-14IAP,Notebook,14.0,1.1,4,Flash,64,Intel,HD Graphics 500,Windows 10,1.44,988.5300000000001,1366,768,0,0,0,0,0,Celeron,3,Other,HD,500,500,Numeric,Low-End
Acer,Aspire 3,Notebook,15.6,2.7,4,HDD,1024,Intel,HD Graphics 620,Linux,2.1,1456.99,1366,768,0,0,0,0,0,Core,7,i3,HD,620,620,Numeric,Mid-Range
Dell,Inspiron 5770,Notebook,17.3,1.6,8,SSD+HDD,1152,AMD,Radeon 530,Windows 10,2.8,3886.63,1920,1080,1,1,0,0,0,Core,8,i5,Radeon,530,530,Numeric,Mid-Range
HP,250 G6,Notebook,15.6,2.5,4,HDD,1024,Intel,HD Graphics 620,Windows 10,1.86,1940.0993,1366,768,0,0,0,0,0,Core,7,i5,HD,620,620,Numeric,Mid-Range
HP,ProBook 450,Notebook,15.6,1.6,8,SSD,256,Nvidia,GeForce 930MX,Windows 10,2.1,3489.63,1920,1080,1,0,0,0,0,Core,8,i5,GeForce,930MX,930,Alphanumeric,High-End
Asus,X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),Notebook,15.6,2.0,4,HDD,1024,Intel,HD Graphics 620,Linux,2.0,1544.3300000000002,1920,1080,1,0,0,0,0,Core,6,i3,HD,620,620,Numeric,Mid-Range
Dell,Inspiron 7577,Gaming,15.6,2.8,16,SSD+HDD,1280,Nvidia,GeForce GTX 1060,Windows 10,2.65,5951.030000000001,1920,1080,1,1,0,0,0,Core,7,i7,GeForce,1060,1060,Numeric,High-End
Asus,X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce,Notebook,15.6,2.5,8,HDD,1024,Nvidia,GeForce 940MX,Linux,2.3,2076.2703,1366,768,0,0,0,0,0,Core,7,i5,GeForce,940MX,940,Alphanumeric,High-End
Acer,Aspire A515-51G,Notebook,15.6,1.6,4,SSD,256,Intel,UHD Graphics 620,Windows 10,2.2,2707.54,1920,1080,1,1,0,0,0,Core,8,i5,UHD,620,620,Numeric,Mid-Range
Dell,Inspiron 7773,2 in 1 Convertible,17.3,1.6,12,HDD,1024,Nvidia,GeForce 150MX,Windows 10,2.77,3966.03,1920,1080,1,0,1,0,0,Core,8,i5,GeForce,150MX,150,Alphanumeric,Low-End
Apple,MacBook Pro,Ultrabook,13.3,2.0,8,SSD,256,Intel,Iris Graphics 540,macOS,1.37,5633.43,2560,1600,0,1,0,0,0,Core,7,i5,Iris,540,540,Numeric,Mid-Range
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,2.0,4,SSD,128,Intel,HD Graphics 520,No OS,2.2,1464.93,1366,768,0,0,0,0,0,Core,6,i3,HD,520,520,Numeric,Mid-Range
Asus,Rog Strix,Gaming,17.3,3.0,8,SSD+HDD,1280,AMD,Radeon RX 580,Windows 10,3.2,5157.030000000001,1920,1080,1,0,0,0,0,Ryzen,1,700,Radeon,580,580,Numeric,Mid-Range
Dell,Inspiron 3567,Notebook,15.6,2.5,4,SSD,256,AMD,Radeon R5 M430,Windows 10,2.3,2536.83,1920,1080,1,0,0,0,0,Core,7,i5,Radeon,M430,430,Alphanumeric,Low-End
Asus,X751NV-TY001T (N4200/4GB/1TB/GeForce,Notebook,17.3,1.1,4,HDD,1024,Nvidia,GeForce 920MX,Windows 10,2.8,1850.02,1366,768,0,0,0,0,0,Pentium,4,Other,GeForce,920MX,920,Alphanumeric,High-End
Lenovo,Yoga Book,2 in 1 Convertible,10.1,1.44,4,Flash,64,Intel,HD Graphics 400,Android,0.69,1266.43,1920,1200,0,1,1,0,0,Atom,8,Other,HD,400,400,Numeric,Low-End
Acer,Aspire A515-51G,Notebook,15.6,1.8,8,SSD,256,Nvidia,GeForce MX150,Windows 10,2.2,3338.77,1920,1080,1,1,0,0,0,Core,8,i7,GeForce,MX150,150,Alphanumeric,Low-End
HP,255 G6,Notebook,15.6,2.5,4,SSD,256,AMD,Radeon R4 Graphics,Windows 10,1.86,1582.0053,1920,1080,1,0,0,0,0,A6,9,9220,Radeon,Graphics,640,Alphanumeric,Mid-Range
HP,ProBook 430,Notebook,13.3,1.8,8,SSD,512,Intel,UHD Graphics 620,Windows 10,1.49,4378.91,1920,1080,1,0,0,0,0,Core,8,i7,UHD,620,620,Numeric,Mid-Range
Acer,Aspire 3,Notebook,15.6,2.4,4,HDD,1024,Intel,HD Graphics 620,Windows 10,2.4,1524.48,1366,768,0,0,0,0,0,Core,7,i3,HD,620,620,Numeric,Mid-Range
Dell,Inspiron 3576,Notebook,15.6,1.8,8,SSD,256,AMD,Radeon 520,Windows 10,2.13,3048.166,1920,1080,1,0,0,0,0,Core,8,i7,Radeon,520,520,Numeric,Mid-Range
HP,15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),Notebook,15.6,2.0,4,SSD,128,Intel,HD Graphics 520,Windows 10,1.91,1742.8300000000002,1920,1080,1,0,0,0,0,Core,6,i3,HD,520,520,Numeric,Mid-Range
Asus,VivoBook Max,Notebook,15.6,2.5,4,SSD,256,Intel,HD Graphics 620,Windows 10,2.0,2327.1743,1366,768,0,0,0,0,0,Core,7,i5,HD,620,620,Numeric,Mid-Range
MSI,GS73VR 7RG,Gaming,17.3,2.8,16,SSD+HDD,2304,Nvidia,GeForce GTX 1070,Windows 10,2.43,9722.53,1920,1080,1,0,0,0,0,Core,7,i7,GeForce,1070,1070,Numeric,High-End
Asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),Notebook,15.6,2.0,4,SSD,256,Intel,HD Graphics 520,Linux,2.0,1647.5500000000002,1920,1080,1,0,0,0,0,Core,6,i3,HD,520,520,Numeric,Mid-Range
