Company,Product,TypeName,Inches,ScreenResolution,CPU_Company,CPU_Type,CPU_Frequency (GHz),RAM (GB),Memory Type,Memory Capacity,GPU_Company,GPU_Type,OpSys,Weight (kg),Price (SAR)
Apple,MacBook Pro,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel,Core i5,2.3,8,SSD,128,Intel,Iris Plus Graphics 640,macOS,1.37,5318.5693
Apple,Macbook Air,Ultrabook,13.3,1440x900,Intel,Core i5,1.8,8,Flash,128,Intel,HD Graphics 6000,macOS,1.34,3568.7918000000004
HP,250 G6,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 7200U,2.5,8,SSD,256,Intel,HD Graphics 620,No OS,1.86,2282.75
Apple,MacBook Pro,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel,Core i7,2.7,16,SSD,512,AMD,Radeon Pro 455,macOS,1.83,10073.6765
Apple,MacBook Pro,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel,Core i5,3.1,8,SSD,256,Intel,Iris Plus Graphics 650,macOS,1.37,7160.292
Acer,Aspire 3,Notebook,15.6,1366x768,AMD,A9-Series 9420,3.0,4,HDD,500,AMD,Radeon R5,Windows 10,2.1,1588.0
Apple,MacBook Pro,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel,Core i7,2.2,16,Flash,256,Intel,Iris Pro Graphics,Mac OS X,2.04,8495.6809
Apple,Macbook Air,Ultrabook,13.3,1440x900,Intel,Core i5,1.8,8,Flash,256,Intel,HD Graphics 6000,macOS,1.34,4600.039000000001
Asus,ZenBook UX430UN,Ultrabook,14.0,Full HD 1920x1080,Intel,Core i7 8550U,1.8,16,SSD,512,Nvidia,GeForce MX150,Windows 10,1.3,5935.150000000001
Acer,Swift 3,Ultrabook,14.0,IPS Panel Full HD 1920x1080,Intel,Core i5 8250U,1.6,8,SSD,256,Intel,UHD Graphics 620,Windows 10,1.6,3056.9
HP,250 G6,Notebook,15.6,1366x768,Intel,Core i5 7200U,2.5,4,HDD,500,Intel,HD Graphics 620,No OS,1.86,1563.783
HP,250 G6,Notebook,15.6,Full HD 1920x1080,Intel,Core i3 6006U,2.0,4,HDD,500,Intel,HD Graphics 520,No OS,1.86,1369.6103
Apple,MacBook Pro,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel,Core i7,2.8,16,SSD,256,AMD,Radeon Pro 555,macOS,1.83,9686.6809
Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Intel,Core i3 6006U,2.0,4,SSD,256,AMD,Radeon R5 M430,Windows 10,2.2,1980.633
Apple,"MacBook 12""",Ultrabook,12.0,IPS Panel Retina Display 2304x1440,Intel,Core M m3,1.2,8,SSD,256,Intel,HD Graphics 615,macOS,0.92,5011.728000000001
Apple,MacBook Pro,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel,Core i5,2.3,8,SSD,256,Intel,Iris Plus Graphics 640,macOS,1.37,6028.6435
Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 7500U,2.7,8,SSD,256,AMD,Radeon R5 M430,Windows 10,2.2,2957.65
Apple,MacBook Pro,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel,Core i7,2.9,16,SSD,512,AMD,Radeon Pro 560,macOS,1.83,11346.26
Lenovo,IdeaPad 320-15IKB,Notebook,15.6,Full HD 1920x1080,Intel,Core i3 7100U,2.4,8,HDD,1024,Nvidia,GeForce 940MX,No OS,2.2,1981.0300000000002
Dell,XPS 13,Ultrabook,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel,Core i5 8250U,1.6,8,SSD,128,Intel,UHD Graphics 620,Windows 10,1.22,3886.63
Asus,Vivobook E200HA,Netbook,11.6,1366x768,Intel,Atom x5-Z8350,1.44,2,Flash,32,Intel,HD Graphics 400,Windows 10,0.98,761.8430000000001
Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel,Core i5 7300HQ,2.5,8,SSD+HDD,1152,Nvidia,GeForce GTX 1050,Windows 10,2.5,3966.03
HP,255 G6,Notebook,15.6,1366x768,AMD,E-Series E2-9000e,1.5,4,HDD,500,AMD,Radeon R2,No OS,1.86,1024.26
Dell,Inspiron 5379,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel,Core i5 8250U,1.6,8,SSD,256,Intel,UHD Graphics 620,Windows 10,1.62,3251.4300000000003
HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Ultrabook,15.6,Full HD 1920x1080,Intel,Core i7 8550U,1.8,8,SSD,256,Intel,HD Graphics 620,Windows 10,1.91,2616.23
Dell,Inspiron 3567,Notebook,15.6,1366x768,Intel,Core i3 6006U,2.0,4,HDD,1024,Intel,HD Graphics 520,Windows 10,2.3,1662.0008
Apple,MacBook Air,Ultrabook,13.3,1440x900,Intel,Core i5,1.6,8,Flash,128,Intel,HD Graphics 6000,Mac OS X,1.35,4363.030000000001
Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 8250U,1.6,8,SSD,256,AMD,Radeon 530,Windows 10,2.2,3176.0
Dell,Latitude 5590,Ultrabook,15.6,Full HD 1920x1080,Intel,Core i7 8650U,1.9,8,SSD+SSD,512,Intel,UHD Graphics 620,Windows 10,1.88,5153.06
HP,ProBook 470,Notebook,17.3,Full HD 1920x1080,Intel,Core i5 8250U,1.6,8,HDD,1024,Nvidia,GeForce 930MX,Windows 10,2.5,3557.1200000000003
Chuwi,"LapBook 15.6""",Notebook,15.6,Full HD 1920x1080,Intel,Atom x5-Z8300,1.44,4,Flash,64,Intel,HD Graphics,Windows 10,1.89,972.6103
Asus,E402WA-GA010T (E2-6110/2GB/32GB/W10),Notebook,14.0,1366x768,AMD,E-Series E2-6110,1.5,2,Flash,32,AMD,Radeon R2,Windows 10,1.65,790.0300000000001
HP,17-ak001nv (A6-9220/4GB/500GB/Radeon,Notebook,17.3,Full HD 1920x1080,AMD,A6-Series 9220,2.5,4,HDD,500,AMD,Radeon 530,Windows 10,2.71,1742.8300000000002
Dell,XPS 13,Ultrabook,13.3,Touchscreen / Quad HD+ 3200x1800,Intel,Core i7 8550U,1.8,16,SSD,512,Intel,UHD Graphics 620,Windows 10,1.2,7419.93
Apple,MacBook Air,Ultrabook,13.3,1440x900,Intel,Core i5,1.6,8,Flash,256,Intel,HD Graphics 6000,Mac OS X,1.35,3962.0600000000004
Lenovo,IdeaPad 120S-14IAP,Notebook,14.0,1366x768,Intel,Celeron Dual Core N3350,1.1,4,Flash,64,Intel,HD Graphics 500,Windows 10,1.44,988.5300000000001
Acer,Aspire 3,Notebook,15.6,1366x768,Intel,Core i3 7130U,2.7,4,HDD,1024,Intel,HD Graphics 620,Linux,2.1,1456.99
Dell,Inspiron 5770,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel,Core i5 8250U,1.6,8,SSD+HDD,1152,AMD,Radeon 530,Windows 10,2.8,3886.63
HP,250 G6,Notebook,15.6,1366x768,Intel,Core i5 7200U,2.5,4,HDD,1024,Intel,HD Graphics 620,Windows 10,1.86,1940.0993
HP,ProBook 450,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 8250U,1.6,8,SSD,256,Nvidia,GeForce 930MX,Windows 10,2.1,3489.63
Asus,X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),Notebook,15.6,Full HD 1920x1080,Intel,Core i3 6006U,2.0,4,HDD,1024,Intel,HD Graphics 620,Linux,2.0,1544.3300000000002
Dell,Inspiron 7577,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,16,SSD+HDD,1280,Nvidia,GeForce GTX 1060,Windows 10,2.65,5951.030000000001
Asus,X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce,Notebook,15.6,1366x768,Intel,Core i5 7200U,2.5,8,HDD,1024,Nvidia,GeForce 940MX,Linux,2.3,2076.2703
Acer,Aspire A515-51G,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel,Core i5 8250U,1.6,4,SSD,256,Intel,UHD Graphics 620,Windows 10,2.2,2707.54
Dell,Inspiron 7773,2 in 1 Convertible,17.3,Full HD / Touchscreen 1920x1080,Intel,Core i5 8250U,1.6,12,HDD,1024,Nvidia,GeForce 150MX,Windows 10,2.77,3966.03
Apple,MacBook Pro,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel,Core i5,2.0,8,SSD,256,Intel,Iris Graphics 540,macOS,1.37,5633.43
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,1366x768,Intel,Core i3 6006U,2.0,4,SSD,128,Intel,HD Graphics 520,No OS,2.2,1464.93
Asus,Rog Strix,Gaming,17.3,Full HD 1920x1080,AMD,Ryzen 1700,3.0,8,SSD+HDD,1280,AMD,Radeon RX 580,Windows 10,3.2,5157.030000000001
Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 7200U,2.5,4,SSD,256,AMD,Radeon R5 M430,Windows 10,2.3,2536.83
Asus,X751NV-TY001T (N4200/4GB/1TB/GeForce,Notebook,17.3,1366x768,Intel,Pentium Quad Core N4200,1.1,4,HDD,1024,Nvidia,GeForce 920MX,Windows 10,2.8,1850.02
Lenovo,Yoga Book,2 in 1 Convertible,10.1,IPS Panel Touchscreen 1920x1200,Intel,Atom x5-Z8550,1.44,4,Flash,64,Intel,HD Graphics 400,Android,0.69,1266.43
Acer,Aspire A515-51G,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel,Core i7 8550U,1.8,8,SSD,256,Nvidia,GeForce MX150,Windows 10,2.2,3338.77
HP,255 G6,Notebook,15.6,Full HD 1920x1080,AMD,A6-Series 9220,2.5,4,SSD,256,AMD,Radeon R4 Graphics,Windows 10,1.86,1582.0053
HP,ProBook 430,Notebook,13.3,Full HD 1920x1080,Intel,Core i7 8550U,1.8,8,SSD,512,Intel,UHD Graphics 620,Windows 10,1.49,4378.91
